Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.676172	4.602487	1.070000	1.150000	
0.100000	4.499957	4.312300	1.840000	2.610000	
0.100000	4.139930	3.993833	4.432000	5.760000	
0.100000	3.909232	3.807077	7.500000	8.460000	
0.100000	3.738646	3.651406	9.946000	11.570000	
0.100000	3.533412	3.825655	12.762000	11.250000	
0.100000	3.285290	3.322451	17.088000	16.960000	
0.100000	3.026783	3.185077	21.464000	20.480000	
0.100000	2.842452	3.086036	25.090000	21.590000	
0.100000	2.706880	2.785330	27.892000	26.870000	
0.100000	2.587407	2.935789	30.452000	27.130000	
0.100000	2.494556	3.215795	32.540000	22.850000	
0.100000	2.418320	2.670084	34.748000	31.530000	
0.100000	2.347994	2.536759	36.246000	32.340000	
0.100000	2.286807	2.871083	37.900000	30.660000	
0.100000	2.234647	2.948520	39.384000	27.930000	
0.100000	2.179350	2.532262	41.060000	35.780000	
0.100000	2.135321	2.627050	42.098000	34.830000	
0.100000	2.093632	2.417944	43.292000	38.410000	
0.100000	2.060692	2.413422	44.164000	38.350000	
0.100000	2.019613	2.159917	45.306000	43.280000	
0.100000	1.990579	2.426543	46.108000	38.500000	
0.100000	1.963187	2.372323	46.942000	40.210000	
0.100000	1.940208	2.927562	47.542000	35.190000	
0.100000	1.928771	2.437384	47.872000	39.420000	
0.100000	1.888716	2.728563	48.930000	34.810000	
0.100000	1.874855	2.212098	49.316000	43.440000	
0.100000	1.857542	2.384129	49.660000	40.290000	
0.100000	1.855813	2.214255	49.576000	42.560000	
0.100000	1.820817	2.274083	50.778000	42.930000	
0.100000	1.813235	2.327629	50.628000	42.140000	
0.100000	1.799014	2.568109	51.332000	39.300000	
0.100000	1.789662	2.125910	51.806000	46.220000	
0.100000	1.778030	2.233586	51.918000	42.810000	
0.100000	1.769067	2.408151	52.368000	40.700000	
0.100000	1.772207	2.156553	52.368000	44.430000	
0.100000	1.751603	2.259933	52.614000	42.210000	
0.100000	1.743583	2.455037	53.250000	39.450000	
0.100000	1.729120	2.001459	53.352000	48.070000	
0.100000	1.714514	2.372070	53.652000	41.810000	
0.100000	1.705179	2.156224	53.998000	44.750000	
0.100000	1.692454	2.525872	54.518000	40.800000	
0.100000	1.690991	2.312442	54.246000	43.270000	
0.100000	1.677266	2.039137	54.854000	47.280000	
0.100000	1.668365	2.265966	55.224000	45.180000	
0.100000	1.668912	2.117607	55.264000	47.220000	
0.100000	1.658578	2.485463	55.402000	40.010000	
0.100000	1.646959	2.062648	55.438000	48.070000	
0.100000	1.645359	2.266823	55.546000	44.930000	
0.100000	1.623511	2.038310	55.968000	48.730000	
0.100000	1.632956	2.250786	56.030000	45.640000	
0.100000	1.629388	2.158030	56.164000	45.180000	
0.100000	1.612471	2.261432	56.358000	43.770000	
0.100000	1.618488	2.183106	56.382000	45.930000	
0.100000	1.610810	2.364072	56.532000	41.860000	
0.100000	1.613255	2.297825	56.482000	44.480000	
0.100000	1.589465	2.304144	57.004000	43.170000	
