Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.005000	4.464237	4.282393	3.198000	4.830000	
0.005000	4.064304	3.908067	7.314000	8.960000	
0.005000	3.793132	3.625734	11.422000	13.850000	
0.005000	3.580978	3.610598	14.588000	15.180000	
0.005000	3.402198	3.353186	17.774000	19.000000	
0.005000	3.258399	3.142332	20.302000	22.800000	
0.005000	3.125420	3.087495	22.864000	24.790000	
0.005000	2.999355	2.962324	25.174000	26.820000	
0.005000	2.869386	2.841150	27.600000	28.450000	
0.005000	2.759138	2.864613	29.810000	28.860000	
0.005000	2.649934	2.673161	32.092000	31.090000	
0.005000	2.556356	2.672669	33.862000	32.410000	
0.005000	2.463112	2.540890	35.860000	35.480000	
0.005000	2.380493	2.409828	37.632000	37.500000	
0.005000	2.297353	2.393209	39.184000	38.560000	
0.005000	2.225054	2.396132	40.802000	38.750000	
0.005000	2.155292	2.358538	42.410000	39.040000	
0.005000	2.095626	2.207720	43.648000	42.510000	
0.005000	2.028018	2.297658	45.144000	41.930000	
0.005000	1.976839	2.199419	46.270000	42.870000	
0.005000	1.919346	2.064973	47.556000	45.100000	
0.005000	1.867842	2.146165	48.830000	44.060000	
0.005000	1.819036	2.098668	49.798000	44.860000	
0.005000	1.776077	2.029689	50.662000	46.420000	
0.005000	1.725673	2.005947	51.974000	47.590000	
0.005000	1.691904	2.009215	52.914000	46.950000	
0.005000	1.646759	1.979023	53.784000	48.110000	
0.005000	1.613811	2.073027	54.890000	47.020000	
0.005000	1.567983	2.010387	55.882000	48.490000	
0.005000	1.542609	1.943638	56.232000	49.430000	
0.005000	1.501833	1.984331	57.392000	49.000000	
0.005000	1.466911	1.968527	58.394000	49.530000	
0.005000	1.435055	1.970839	59.020000	49.600000	
0.005000	1.412961	1.909336	59.248000	50.050000	
0.005000	1.377064	1.858451	60.780000	51.580000	
0.005000	1.349204	1.814679	61.238000	53.090000	
0.005000	1.322944	1.812834	61.818000	52.520000	
0.005000	1.295521	1.895382	62.484000	51.710000	
0.005000	1.276547	1.876386	63.120000	52.170000	
0.005000	1.241096	1.826826	63.918000	53.140000	
0.005000	1.216590	1.816137	64.574000	52.580000	
0.005000	1.196095	1.904701	65.154000	52.090000	
0.005000	1.178111	1.991061	65.416000	50.820000	
0.005000	1.149645	1.907278	66.262000	52.340000	
0.005000	1.128223	1.839234	66.700000	53.050000	
0.005000	1.105435	1.870791	67.360000	53.770000	
0.005000	1.083303	1.857430	68.002000	53.930000	
0.005000	1.072255	1.878781	68.172000	53.720000	
0.005000	1.037431	1.814574	69.166000	54.550000	
0.005000	1.025917	1.834613	69.192000	53.830000	
0.005000	1.005876	1.831023	69.914000	54.970000	
0.005000	0.989744	1.806406	70.188000	55.120000	
0.005000	0.968682	1.813182	70.640000	55.710000	
0.005000	0.947902	1.909283	71.566000	54.250000	
0.005000	0.926817	1.779724	71.960000	56.090000	
0.005000	0.915689	1.875552	72.266000	54.230000	
0.005000	0.899070	1.967030	72.768000	54.400000	
0.005000	0.885450	1.976534	72.940000	53.850000	
0.005000	0.867662	1.903464	73.656000	55.200000	
0.005000	0.852795	1.936566	73.912000	54.930000	
0.005000	0.838792	1.947429	74.298000	54.680000	
0.005000	0.821575	1.934241	74.816000	54.260000	
0.005000	0.803151	1.836851	75.354000	56.520000	
0.005000	0.790953	1.847650	75.604000	56.260000	
0.005000	0.776268	1.891134	76.038000	56.060000	
0.005000	0.772341	1.918832	76.012000	56.280000	
0.005000	0.744189	1.954129	77.086000	56.400000	
0.005000	0.731578	2.039866	77.290000	54.110000	
0.005000	0.719108	1.999279	77.726000	56.020000	
0.005000	0.706417	1.967874	77.976000	56.460000	
0.005000	0.693487	1.912508	78.470000	56.610000	
0.005000	0.684564	2.011577	78.704000	56.420000	
0.005000	0.678920	1.909318	78.798000	57.060000	
0.005000	0.656845	1.971373	79.402000	56.270000	
0.005000	0.650525	2.013266	79.520000	56.730000	
0.005000	0.638575	2.093915	80.096000	54.310000	
0.005000	0.621041	2.027373	80.382000	55.450000	
0.005000	0.614453	2.104020	80.716000	55.060000	
0.005000	0.608026	2.075479	80.662000	55.650000	
0.005000	0.593239	2.009190	81.120000	56.990000	
0.005000	0.577597	2.040990	81.678000	55.940000	
0.000500	0.411759	1.695203	87.452000	61.800000	
0.000500	0.361959	1.704268	89.138000	62.060000	
0.000500	0.337593	1.695203	89.966000	62.070000	
