Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.281936	1.986215	15.364000	21.410000	
0.100000	1.882693	1.763012	27.506000	33.330000	
0.100000	1.631395	1.539282	38.840000	43.500000	
0.100000	1.404714	1.351487	48.600000	51.290000	
0.100000	1.188996	1.110960	57.014000	60.100000	
0.100000	0.998360	1.083606	64.488000	62.660000	
0.100000	0.862128	0.824244	69.748000	71.830000	
0.100000	0.751516	0.801976	73.696000	72.870000	
0.100000	0.687308	0.841855	76.018000	73.100000	
0.100000	0.625390	0.659067	78.506000	77.730000	
0.100000	0.583489	0.602451	79.856000	79.040000	
0.100000	0.545517	0.567428	81.210000	81.080000	
0.100000	0.510987	0.763705	82.272000	75.200000	
0.100000	0.487692	0.598231	83.130000	80.310000	
0.100000	0.464744	0.587146	84.058000	81.300000	
0.100000	0.439332	0.696122	84.810000	77.910000	
0.100000	0.424722	0.635583	85.234000	79.250000	
0.100000	0.407030	0.485234	85.998000	84.260000	
0.100000	0.386832	0.493887	86.484000	83.390000	
0.100000	0.372918	0.475531	87.060000	83.860000	
0.100000	0.362468	0.477002	87.504000	84.630000	
0.100000	0.352262	0.602763	87.880000	82.440000	
0.100000	0.342371	0.522521	88.170000	83.070000	
0.100000	0.334112	0.470827	88.496000	85.030000	
0.100000	0.325051	0.500137	88.792000	84.280000	
0.100000	0.313531	0.473576	89.220000	84.630000	
0.100000	0.307445	0.405359	89.430000	86.970000	
0.100000	0.297900	0.398681	89.628000	87.220000	
0.100000	0.292747	0.454650	89.792000	85.050000	
0.100000	0.289941	0.454336	89.870000	85.360000	
0.100000	0.281429	0.433282	90.234000	85.880000	
0.100000	0.271380	0.425001	90.608000	86.430000	
0.100000	0.268309	0.416440	90.578000	87.260000	
0.100000	0.263055	0.415837	90.904000	86.780000	
0.100000	0.254825	0.411055	91.262000	86.510000	
0.100000	0.258234	0.389942	91.016000	87.760000	
0.100000	0.247466	0.412379	91.358000	86.510000	
0.100000	0.245582	0.450460	91.436000	85.930000	
0.100000	0.241123	0.471254	91.700000	85.450000	
0.100000	0.241041	0.414239	91.536000	87.340000	
0.100000	0.231912	0.473691	91.976000	85.810000	
0.100000	0.229821	0.467356	92.064000	85.170000	
0.100000	0.229159	0.516718	92.062000	84.160000	
0.100000	0.222053	0.481883	92.432000	85.360000	
0.100000	0.226759	0.424538	92.090000	86.520000	
0.100000	0.224528	0.443511	92.292000	86.210000	
0.100000	0.218913	0.418635	92.416000	86.700000	
0.100000	0.216528	0.410973	92.432000	87.550000	
0.100000	0.215729	0.445954	92.520000	85.980000	
0.100000	0.206690	0.377072	92.742000	88.040000	
0.100000	0.207388	0.625649	92.692000	82.910000	
0.100000	0.212255	0.541278	92.512000	82.950000	
0.100000	0.205633	0.396420	92.730000	87.180000	
0.100000	0.201586	0.527261	92.974000	84.560000	
0.100000	0.200595	0.393938	93.062000	88.260000	
0.100000	0.198610	0.410277	93.078000	87.450000	
0.100000	0.195706	0.400111	93.184000	87.820000	
0.100000	0.196352	0.478836	93.250000	86.390000	
0.100000	0.187277	0.465000	93.490000	86.050000	
0.100000	0.193330	0.459639	93.336000	86.410000	
0.100000	0.187623	0.436723	93.402000	86.570000	
0.100000	0.188006	0.346512	93.576000	89.410000	
0.100000	0.186479	0.519989	93.406000	84.970000	
0.100000	0.187407	0.396756	93.596000	87.440000	
0.100000	0.185104	0.459347	93.448000	86.610000	
0.100000	0.182273	0.464509	93.594000	86.570000	
0.100000	0.178707	0.403111	93.814000	87.590000	
0.100000	0.180463	0.442752	93.762000	87.010000	
0.100000	0.180443	0.456053	93.644000	85.850000	
0.100000	0.178392	0.629380	93.772000	82.970000	
0.100000	0.175259	0.445629	93.732000	86.840000	
0.100000	0.181060	0.344169	93.668000	89.420000	
0.100000	0.176483	0.391097	93.868000	87.940000	
0.100000	0.165764	0.375766	94.272000	88.750000	
0.100000	0.168472	0.463622	94.102000	85.700000	
0.100000	0.166993	0.455834	94.064000	86.050000	
0.100000	0.172023	0.365302	93.944000	88.320000	
0.100000	0.169282	0.424267	94.040000	87.600000	
0.100000	0.164573	0.414793	94.264000	87.370000	
0.100000	0.170182	0.402558	94.034000	87.910000	
0.100000	0.161681	0.382105	94.360000	88.560000	
0.010000	0.080760	0.240620	97.314000	92.700000	
0.010000	0.053327	0.240526	98.344000	92.880000	
0.010000	0.043952	0.242612	98.630000	92.880000	
0.010000	0.036782	0.243961	98.910000	93.070000	
0.010000	0.032481	0.246205	99.004000	92.950000	
0.010000	0.028409	0.245895	99.140000	93.120000	
0.010000	0.026378	0.254087	99.174000	92.970000	
0.010000	0.024249	0.253786	99.296000	93.000000	
0.010000	0.021303	0.256835	99.392000	93.230000	
0.010000	0.019665	0.260944	99.400000	93.100000	
0.010000	0.018471	0.261920	99.450000	93.060000	
0.010000	0.016519	0.262225	99.566000	93.090000	
0.010000	0.015330	0.267762	99.596000	93.340000	
0.010000	0.014671	0.271484	99.590000	93.230000	
0.010000	0.013991	0.274410	99.642000	93.170000	
0.010000	0.012687	0.276707	99.682000	93.240000	
0.010000	0.011936	0.283515	99.674000	92.950000	
0.010000	0.012158	0.284486	99.662000	93.150000	
0.010000	0.010625	0.286995	99.720000	93.130000	
0.010000	0.011139	0.284482	99.682000	93.100000	
0.010000	0.009449	0.284462	99.768000	93.270000	
0.010000	0.009502	0.288332	99.772000	93.090000	
0.010000	0.008966	0.286128	99.760000	93.120000	
0.010000	0.008756	0.290219	99.772000	93.320000	
0.010000	0.007802	0.295561	99.792000	93.250000	
0.010000	0.008142	0.290097	99.778000	93.110000	
0.010000	0.007685	0.295414	99.808000	93.070000	
0.010000	0.007044	0.299201	99.842000	93.220000	
0.010000	0.007084	0.295862	99.838000	93.130000	
0.010000	0.006398	0.300031	99.856000	93.190000	
0.010000	0.006801	0.307839	99.854000	93.170000	
0.010000	0.006264	0.301914	99.852000	93.180000	
0.010000	0.006320	0.306830	99.852000	93.220000	
0.010000	0.005388	0.305256	99.874000	93.330000	
0.010000	0.005488	0.305635	99.882000	93.420000	
0.010000	0.005991	0.301162	99.856000	93.450000	
0.010000	0.005180	0.307991	99.882000	93.320000	
0.010000	0.005640	0.301520	99.860000	93.250000	
0.010000	0.004705	0.309405	99.886000	93.260000	
0.010000	0.005385	0.307267	99.878000	93.290000	
0.010000	0.005188	0.311987	99.874000	93.310000	
0.001000	0.004194	0.306765	99.910000	93.260000	
0.001000	0.004464	0.306431	99.904000	93.440000	
0.001000	0.003718	0.306493	99.938000	93.410000	
0.001000	0.003288	0.306083	99.958000	93.400000	
0.001000	0.003229	0.303362	99.950000	93.410000	
0.001000	0.003783	0.302790	99.918000	93.460000	
0.001000	0.003614	0.307917	99.936000	93.480000	
0.001000	0.003337	0.303519	99.936000	93.450000	
0.001000	0.003478	0.308524	99.936000	93.250000	
0.001000	0.003370	0.304296	99.936000	93.520000	
0.001000	0.003254	0.303385	99.948000	93.460000	
0.001000	0.003210	0.306592	99.950000	93.320000	
0.001000	0.003132	0.304829	99.948000	93.460000	
0.001000	0.003505	0.306339	99.922000	93.460000	
0.001000	0.003326	0.307778	99.936000	93.530000	
0.001000	0.003109	0.304501	99.944000	93.420000	
0.001000	0.003357	0.305331	99.940000	93.470000	
0.001000	0.003465	0.305442	99.934000	93.460000	
0.001000	0.002893	0.305191	99.970000	93.490000	
0.001000	0.003114	0.307788	99.952000	93.380000	
0.001000	0.003041	0.306121	99.948000	93.500000	
0.001000	0.003205	0.304952	99.936000	93.380000	
0.001000	0.003275	0.307287	99.934000	93.370000	
0.001000	0.003290	0.307951	99.922000	93.500000	
